"","cik","company.name"
"210",1315257,"Koppers Holdings Inc "
"211",1422143,"Kura Oncology  Inc "
"212",1604627,"KushCo Holdings  Inc "
"213",1141688,"LANDMARK BANCORP INC"
"214",1510247,"LIFEAPPS BRANDS INC "
"215",59558,"LINCOLN NATIONAL CORP"
"216",1679273,"Lamb Weston Holdings  Inc "
"217",1521036,"Lantheus Holdings  Inc "
"218",1336920,"Leidos Holdings  Inc "
"219",1669600,"Liberty Expedia Holdings  Inc "
"220",1606745,"Liberty TripAdvisor Holdings  Inc "
"221",1606163,"Limbach Holdings  Inc "
"222",1350420,"Lincolnway Energy  LLC"
"223",1396033,"Lumber Liquidators Holdings  Inc "
"224",1633978,"Lumentum Holdings Inc "
"225",1475348,"Luther Burbank Corp"
"226",62362,"MARINE PETROLEUM TRUST"
"227",1000209,"MEDALLION FINANCIAL CORP"
"228",1760026,"MESO NUMISMATICS  INC "
"229",1456857,"MJ Holdings  Inc "
"230",1003201,"MMA Capital Holdings  Inc "
"231",1552000,"MPLX LP"
"232",1624826,"MPM Holdings Inc "
"233",1011659,"MUFG Americas Holdings Corp"
"234",1680048,"MUSTANG BIO  INC "
"235",1550913,"MacKenzie Realty Capital  Inc "
"236",1289790,"Macquarie Infrastructure Corp"
"237",1690585,"Magenta Therapeutics  Inc "
"238",1412100,"Maiden Holdings  Ltd "
"239",1520358,"MamaMancinis Holdings  Inc "
"240",1638290,"MasterCraft Boat Holdings  Inc "
"241",1582554,"Matinas BioPharma Holdings  Inc "
"242",1442836,"Mersana Therapeutics  Inc "
"243",1476034,"Metropolitan Bank Holding Corp "
"244",1637913,"Milacron Holdings Corp "
"245",1544227,"Millendo Therapeutics  Inc "
"246",1385292,"Monotype Imaging Holdings Inc "
"247",1686850,"Motus GI Holdings  Inc "
"248",790359,"NBT BANCORP INC"
"249",1318742,"NCL CORP Ltd "
"250",1030192,"NEW JERSEY MINING CO"
"251",1681206,"NI Holdings  Inc "
"252",1547903,"NMI Holdings  Inc "
"253",827809,"NOVELION THERAPEUTICS INC "
"254",1399855,"National American University Holdings  Inc "
"255",1475841,"National Bank Holdings Corp"
"256",1578735,"National General Holdings Corp "
"257",1710155,"National Vision Holdings  Inc "
"258",1296435,"Neenah Inc"
"259",1605481,"Nevada Canyon Gold Corp "
"260",1593001,"NightFood Holdings  Inc "
"261",1513761,"Norwegian Cruise Line Holdings Ltd "
"262",1404281,"Novus Therapeutics  Inc "
"263",885568,"OLD DOMINION ELECTRIC COOPERATIVE"
"264",740971,"OLD POINT FINANCIAL CORP"
"265",1034592,"OMNICOMM SYSTEMS INC"
"266",1193311,"ONCOR ELECTRIC DELIVERY CO LLC"
"267",812233,"OWENS ILLINOIS GROUP INC"
"268",1744179,"Oaktree Strategic Income II  Inc "
"269",1501078,"Oconee Federal Financial Corp "
"270",1639300,"Ollies Bargain Outlet Holdings  Inc "
"271",1646188,"Ondas Holdings Inc "
"272",1712463,"One Madison Corp"
"273",1584207,"OneMain Holdings  Inc "
"274",1410939,"Ophthotech Corp "
"275",1397016,"Optex Systems Holdings Inc"
"276",1288855,"OptimumBank Holdings  Inc "
"277",1058307,"Orbital Tracking Corp "
"278",1661181,"Organogenesis Holdings Inc "
"279",1460602,"Orgenesis Inc "
"280",1402829,"Orion Group Holdings Inc"
"281",1566011,"PBF Holding Co LLC"
"282",1708035,"PQ Group Holdings Inc "
"283",1392972,"PROS Holdings  Inc "
"284",78239,"PVH CORP   DE "
"285",1592379,"Papa Murphys Holdings  Inc "
"286",1605607,"Paramount Group  Inc "
"287",1592058,"Party City Holdco Inc "
"288",1633917,"PayPal Holdings  Inc "
"289",1591698,"Paylocity Holding Corp"
"290",1512922,"PetVivo Holdings  Inc "
"291",1627469,"Photozou Holdings  Inc "
"292",1117057,"Planet Green Holdings Corp "
"293",1617431,"Po Yuen Cultural Holdings  Hong Kong  Co   Ltd "
"294",1634424,"PowerComm Holdings Inc "
"295",1446159,"Precision Therapeutics Inc "
"296",1080657,"Presidio Property Trust  Inc "
"297",1586454,"Prime Meridian Holding Co"
"298",1510487,"Principia Biopharma Inc "
"299",1653558,"Priority Technology Holdings  Inc "
"300",1680247,"ProPetro Holding Corp "
"301",1546296,"Professional Diversity Network  Inc "
"302",1517681,"Propanc Biopharma  Inc "
"303",1410384,"Q2 Holdings  Inc "
"304",906465,"QCR HOLDINGS INC"
"305",68622,"QWEST CORP"
"306",1442236,"Quest Resource Holding Corp"
"307",1650445,"Quorum Health Corp"
"308",52827,"RAYONIER INC"
"309",1324948,"RBC Bearings INC"
"310",1581091,"RE MAX Holdings  Inc "
"311",1359687,"RED TRAIL ENERGY  LLC"
"312",704440,"REPRO MED SYSTEMS INC"
"313",1740332,"RESIDEO TECHNOLOGIES  INC "
"314",946563,"RETRACTABLE TECHNOLOGIES INC"
"315",1351285,"ROSETTA STONE INC"
"316",1532158,"Rebel Group  Inc "
"317",1353406,"RedHawk Holdings Corp "
"318",1682265,"Reliant Holdings  Inc "
"319",1412126,"RemSleep Holdings Inc "
"320",1481582,"Ryerson Holding Corp"
"321",1514732,"SAExploration Holdings  Inc "
"322",1592706,"SB RH Holdings  LLC"
"323",1690334,"SEACOR Marine Holdings Inc "
"324",1075415,"SENIOR HOUSING PROPERTIES TRUST"
"325",1065837,"SKECHERS USA INC"
"326",1616533,"SMART Global Holdings  Inc "
"327",764038,"SOUTH STATE Corp"
"328",1132105,"SPORTSMANS WAREHOUSE HOLDINGS  INC "
"329",718937,"STAAR SURGICAL CO"
"330",1479094,"STAG Industrial  Inc "
"331",1070154,"STERLING BANCORP"
"332",1400683,"STWC  Holdings  Inc "
"333",1089907,"SWK Holdings Corp"
"334",1499200,"Sabine Pass Liquefaction  LLC"
"335",1538267,"SandRidge Mississippian Trust II"
"336",1580608,"Santander Consumer USA Holdings Inc "
"337",1637761,"SeaSpine Holdings Corp"
"338",1477294,"Sensata Technologies Holding plc"
"339",1616543,"Senseonics Holdings  Inc "
"340",1656328,"Sienna Biopharmaceuticals  Inc "
"341",1532595,"Sincerity Applied Materials Holdings Corp "
"342",1643319,"Sleepaid Holding Co "
"343",1706946,"Social Capital Hedosophia Holdings Corp "
"344",1419612,"SolarEdge Technologies Inc"
"345",1071840,"SolarWindow Technologies  Inc "
"346",1697500,"Solaris Oilfield Infrastructure  Inc "
"347",1692115,"Southwest Gas Holdings  Inc "
"348",109177,"Spectrum Brands Holdings  Inc "
"349",1364885,"Spirit AeroSystems Holdings  Inc "
"350",1289945,"Spok Holdings  Inc"
"351",1492915,"Standard AVB Financial Corp "
"352",1697834,"Stem Holdings  Inc "
"353",1446371,"Strategic Realty Trust  Inc "
"354",1634432,"Strongbridge Biopharma plc"
"355",1343465,"Sun Pacific Holding Corp "
"356",1600422,"Superior Drilling Products  Inc "
"357",1392694,"Surge Holdings  Inc "
"358",1142790,"TAURIGA SCIENCES  INC "
"359",1075607,"TC PIPELINES LP"
"360",1715933,"TCW Direct Lending VII LLC"
"361",790703,"TECH DATA CORP"
"362",96943,"TELEFLEX INC"
"363",217346,"TEXTRON INC"
"364",1701859,"TGS International Ltd "
"365",910267,"TITAN PHARMACEUTICALS INC"
"366",1698991,"TPG Pace Holdings Corp "
"367",1382574,"TRXADE GROUP  INC "
"368",1013880,"TTEC Holdings  Inc "
"369",1133798,"TX Holdings  Inc "
"370",1477449,"Teladoc Health  Inc "
"371",1318605,"Tesla  Inc "
"372",1583107,"Theravance Biopharma  Inc "
"373",1489096,"Thermon Group Holdings  Inc "
"374",1570279,"Ticket Corp "
"375",794170,"Toll Brothers  Inc "
"376",1550453,"TriLinc Global Impact Fund LLC"
"377",1380846,"TriState Capital Holdings  Inc "
"378",1530804,"Tronox Ltd"
"379",1213037,"Trovagene  Inc "
"380",1134765,"True Drinks Holdings  Inc "
"381",1089815,"U S  NeuroSurgical Holdings  Inc "
"382",100790,"UNION CARBIDE CORP  NEW "
"383",764630,"UNITED STATES BASKETBALL LEAGUE INC"
"384",1665918,"US Foods Holding Corp "
"385",706698,"UTAH MEDICAL PRODUCTS INC"
"386",1275014,"Ultra Clean Holdings  Inc "
"387",1317839,"Umatrin Holding Ltd"
"388",1766146,"Union Acquisition Corp  II"
"389",100517,"United Continental Holdings  Inc "
"390",1652842,"United Royale Holdings Corp "
"391",1703073,"VIVIC CORP "
"392",1449349,"VIVOS INC"
"393",103872,"VOLT INFORMATION SCIENCES  INC "
"394",1619250,"Valeritas Holdings Inc "
"395",1669400,"Veritas Farms  Inc "
"396",1501570,"Veritex Holdings  Inc "
"397",1570827,"Victory Capital Holdings  Inc "
"398",1082324,"VirnetX Holding Corp"
"399",1487952,"Vishay Precision Group  Inc "
"400",1438943,"Vitality Biopharma  Inc "
"401",1308027,"Vystar Corp"
"402",1390844,"WABCO Holdings Inc "
"403",311094,"WESTAMERICA BANCORPORATION"
"404",1653247,"Waitr Holdings Inc "
"405",1473490,"Wall Street Media Co  Inc "
"406",1378718,"Wesco Aircraft Holdings  Inc"
"407",1370450,"Willdan Group  Inc "
"408",1279715,"Wright Investors Service Holdings  Inc "
"409",1453593,"Xtant Medical Holdings  Inc "
"410",1670592,"YETI Holdings  Inc "
"411",716006,"YRC Worldwide Inc "
"412",1438461,"Yinfu Gold Corp "
"413",1673358,"Yum China Holdings  Inc "
"414",1136869,"ZIMMER BIOMET HOLDINGS  INC "
"415",1608249,"Zayo Group Holdings  Inc "
"416",1463172,"Zendesk  Inc "
"417",1635748,"Zoompass Holdings  Inc "
"418",1293971,"bluebird bio  Inc "
"419",1727263,"frontdoor  inc "
"420",1479681,"iGambit  Inc "
"421",1527702,"iQSTEL Inc"
"422",1397187,"lululemon athletica inc "
"423",1720580,"resTORbio  Inc "
